OffspringID1,OffspringID2,Probability
L0629,L0917,1.000
L0629,L1229,1.000
L0705,L1003,1.000
L0716,L0782,0.998
L0716,L0784,1.000
L0716,L0928,1.000
L0716,L0929,1.000
L0716,L0958,1.000
L0716,L1167,0.079
L0716,L1291,1.000
L0716,L2248,1.000
L0716,L3009,1.000
L0716,L3065,1.000
L0716,L3066,1.000
L0782,L0784,0.915
L0782,L0928,0.432
L0782,L0929,1.000
L0782,L0958,1.000
L0782,L1167,1.000
L0782,L1291,0.006
L0782,L2248,1.000
L0782,L3009,1.000
L0782,L3065,1.000
L0782,L3066,1.000
L0784,L0928,1.000
L0784,L0929,1.000
L0784,L0958,1.000
L0784,L1167,1.000
L0784,L1291,1.000
L0784,L2248,1.000
L0784,L3009,0.009
L0784,L3065,1.000
L0784,L3066,1.000
L0787,L1299,1.000
L0789,L0801,1.000
L0794,L0959,0.002
L0813,L2518,1.000
L0915,L1333,1.000
L0917,L1229,1.000
L0928,L0929,1.000
L0928,L1167,0.993
L0928,L1291,1.000
L0928,L2248,1.000
L0928,L3065,0.264
L0928,L3066,0.156
L0929,L0958,1.000
L0929,L1167,0.938
L0929,L1291,0.614
L0929,L2248,1.000
L0929,L3009,1.000
L0929,L3065,1.000
L0929,L3066,1.000
L0958,L1167,0.002
L0958,L2248,1.000
L0958,L3009,0.008
L0958,L3066,1.000
L1167,L1291,1.000
L1167,L2248,1.000
L1167,L3066,0.979
L1275,L2455,1.000
L1291,L2248,1.000
L1291,L3009,1.000
L1291,L3065,1.000
L1291,L3066,1.000
L2248,L3009,1.000
L2248,L3065,1.000
L2248,L3066,1.000
L3009,L3065,1.000
L3009,L3066,1.000
L3065,L3066,1.000
