OffspringID1,OffspringID2,Probability
L0340,L0341,1.000
L0340,L0373,0.199
L0340,L2284,0.984
L0341,L0373,1.000
L0373,L2383,0.885
L1215,L2361,0.823
L1215,L2563,0.996
L2214,L2346,0.422
L2214,L2424,0.325
L2216,L2274,0.667
L2216,L2486,0.984
L2218,L2310,0.432
L2218,L2386,1.000
L2220,L2274,0.059
L2220,L2406,0.716
L2220,L2429,1.000
L2220,L2485,0.958
L2220,L2577,1.000
L2226,L2325,0.941
L2226,L2369,0.038
L2226,L2583,0.520
L2270,L2285,0.025
L2270,L2361,0.079
L2274,L2429,1.000
L2276,L2288,0.013
L2276,L2291,0.114
L2281,L2555,0.998
L2285,L2361,0.744
L2291,L2384,0.244
L2291,L2471,0.057
L2291,L2582,0.003
L2291,L5272,0.623
L2310,L2386,0.892
L2329,L2487,0.195
L2329,L2577,0.146
L2346,L2406,0.939
L2368,L2384,0.973
L2368,L2571,0.835
L2369,L2564,0.236
L2383,L2427,0.059
L2384,L2571,1.000
L2384,L2582,0.003
L2406,L2485,0.996
L2406,L2577,1.000
L2414,L2472,0.557
L2414,L2480,0.999
L2414,L2566,0.853
L2414,L2582,0.166
L2418,L2479,0.457
L2424,L2555,0.001
L2424,L2580,0.001
L2427,L2562,0.998
L2430,L2486,0.999
L2431,L2479,0.351
L2431,L2563,1.000
L2470,L2483,0.415
L2470,L2564,0.998
L2472,L2480,1.000
L2472,L2566,1.000
L2472,L2580,1.000
L2472,L2582,0.213
L2480,L2566,1.000
L2480,L2582,0.489
L2483,L2564,1.000
L2485,L2577,0.021
L2555,L2580,1.000
L2566,L2582,0.044
L0256,L0258,0.073
L0256,L0291,0.069
L0256,L0326,0.660
L0256,L0375,0.546
L0256,L0392,0.007
L0256,L0414,0.996
L0256,L0658,0.028
L0256,L0694,0.082
L0256,L0854,0.026
L0256,L0883,0.639
L0256,L1074,0.035
L0256,L1118,0.003
L0256,L1249,0.005
L0256,L1258,0.227
L0256,L1274,0.002
L0256,L2348,0.429
L0256,L2524,0.010
L0258,L0264,0.076
L0258,L0268,0.076
L0258,L0282,0.076
L0258,L0293,0.076
L0258,L0296,0.075
L0258,L0301,0.076
L0258,L0321,0.076
L0258,L0352,0.074
L0258,L0374,0.002
L0258,L0387,0.076
L0258,L0394,0.076
L0258,L0400,0.022
L0258,L0405,0.923
L0258,L0641,0.074
L0258,L0643,0.003
L0258,L0646,0.073
L0258,L0682,0.076
L0258,L0694,0.917
L0258,L0773,0.073
L0258,L0852,0.003
L0258,L0855,0.074
L0258,L0858,0.073
L0258,L0862,0.076
L0258,L0869,0.073
L0258,L0870,0.076
L0258,L0887,0.076
L0258,L0889,0.073
L0258,L0891,0.073
L0258,L0976,0.003
L0258,L1074,0.003
L0258,L1078,0.065
L0258,L1079,0.003
L0258,L1082,0.003
L0258,L1087,0.003
L0258,L1099,0.003
